Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,Battery_Cell,
C1,0402,1,15p,
"C10, C14, C3, C4, C5, C6",0402,6,10u,
"C11, C13, C15, C16, C17, C18, C7, C8, C9",0402,9,0u1,
C12,0402,1,100u,
C19,0402,1,4n7,
C2,0402,1,1u,
"D1, D7, D8",SOT-666,3,USBLC6-2P6,
"D10, D11, D9",SOT-23,3,BAT54S,
D2,0603,1,ORANGE,
D3,APA102_2020-6Pin,1,SK9822-EC20,
D4,0603,1,RED,
D5,D_SOD-323F,1,PMEG4010CEJ,
D6,D_MiniMELF_TVS,1,TGL34-6.8CA,
F1,1812,1,MF-MSMF200,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x08_P2.54mm_Vertical,1,"0.71"" LCD",
"J3, J4",PinHeader_1x05_P2.54mm_Vertical,2,PR5L4015-5P-C-F,
LS1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,Speaker,
Q1,SOT-23,1,AO3401A,
Q2,SOT-723,1,NTK3139P,
"R1, R13, R2",0402,3,10k,
"R10, R11, R3, R4, R5, R6",0402,6,5k1,
"R12, R16, R21, R23, R25, R7",0402,6,100k,
R14,0402,1,2k1,
R15,0402,1,634k,
"R17, R18, R19, R20",0402,4,100,
"R22, R24, R26",0402,3,33k,
R27,0402,1,1M,
"R28, R29",0402,2,47k,
"R8, R9",0402,2,3k3,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SKRPACE010,
SW3,SW_SPDT_CK_JS102011SAQN,1,JS102011SAQN,
"U1, U6",SOT-23-5,2,MAX40200AUK,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-23-5,1,TLV75733PDBV,
U4,SOT-23-5_BigPads,1,TP4065,
U5,MIC_DMM-4026-B-I2S-R,1,DMM-4026-B-I2S-R,
U7,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U8,LGA14_LSM6_STM,1,LSM6DSV16X,
